event_id,ip,http_method,requested_url,http_version,response_status,timestamp
143,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_5485&query=protests%20in%20india%202020&dwell_time=2,HTTP/1.1,204,2024-12-03 17:08:34
144,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:21:43
145,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:21:43
146,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:21:43
147,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:21:43
148,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_5485&query=protests%20in%20india%202020&dwell_time=3,HTTP/1.1,204,2024-12-03 17:22:02
149,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_5485&query=protests%20in%20india%202020&dwell_time=3,HTTP/1.1,204,2024-12-03 17:22:02
150,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:23:10
151,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:23:10
152,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:23:10
153,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:23:10
154,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_16501&query=protests%20in%20india%202020&dwell_time=5,HTTP/1.1,204,2024-12-03 17:23:19
155,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:24:14
156,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:24:14
157,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:24:14
158,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:24:14
159,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_838&query=support%20farmers%20please&dwell_time=10,HTTP/1.1,204,2024-12-03 17:24:29
160,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:32:29
161,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:32:29
162,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:32:29
163,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:32:29
164,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_11176&query=support%20farmers%20please&dwell_time=23,HTTP/1.1,204,2024-12-03 17:32:57
165,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_4674&query=support%20farmers%20please&dwell_time=1,HTTP/1.1,204,2024-12-03 17:36:29
166,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:39:11
167,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:39:11
168,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:39:11
169,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:39:11
170,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:40:56
171,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:40:56
172,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:40:56
173,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:40:56
174,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:44:12
175,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:44:12
176,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:44:12
177,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:44:12
178,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:58:00
179,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:58:00
180,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:58:00
181,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:58:00
182,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:58:14
183,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:58:14
184,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:58:14
185,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:58:14
186,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 18:03:12
187,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:03:12
188,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 18:03:12
189,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 18:03:12
190,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_23286&query=protests&dwell_time=4,HTTP/1.1,204,2024-12-03 18:05:20
191,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_23286&query=protests&dwell_time=3,HTTP/1.1,204,2024-12-03 18:29:48
192,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_41653&query=protests&dwell_time=27,HTTP/1.1,204,2024-12-03 18:30:19
193,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 18:32:29
194,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 18:32:29
195,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:32:29
196,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 18:32:29
197,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_15731&query=problem%20in%20india%202020&dwell_time=2,HTTP/1.1,204,2024-12-03 18:32:39
198,127.0.0.1,GET,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:34:50
199,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:34:50
200,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:34:50
201,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:34:58
202,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:34:58
203,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:34:58
204,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:35:05
205,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:35:05
206,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:35:05
207,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:35:08
208,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:35:08
209,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:35:08
210,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:35:13
211,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:35:14
212,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:35:14
213,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:35:20
214,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:35:20
215,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:35:20
216,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:35:27
217,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:35:27
218,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:35:27
219,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:36:27
220,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:36:27
221,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:36:27
222,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:36:35
223,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:36:35
224,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:36:35
225,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:36:49
226,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:36:49
227,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:36:49
228,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:36:55
229,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:36:55
230,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:36:55
231,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:37:05
232,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:37:05
233,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:37:05
234,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:37:13
235,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:37:14
236,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 18:37:14
237,127.0.0.1,POST,http://localhost:8088/sentiment,HTTP/1.1,200,2024-12-03 18:37:28
238,127.0.0.1,GET,http://localhost:8088/static/bootstrap.min.css,HTTP/1.1,404,2024-12-03 18:37:28
